orpha_code;orpha_concept_id;snomed_code;snomed_concept_id;snomed_domain_id;snomed_domain_concept_id;orpha_valid_start_date;orpha_valid_end_date;mapping_valid_start_date;mapping_valid_end_date
5;0;726021008;37111321;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
6;0;13144005;4047245;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
7;0;718556007;36713638;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
8;0;50749006;4176135;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
9;0;10567003;4023327;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
10;0;403760006;4300446;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
11;0;43248007;4183443;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
14;0;190787008;4098595;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
15;0;86268005;4311402;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
16;0;789676005;37312154;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
17;0;715338007;37395779;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
18;0;236461000;4030525;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
20;0;410059004;4261869;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
22;0;49748000;4171688;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
23;0;41013004;4164940;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
24;0;237983002;4035281;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
25;0;360416003;4236246;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
26;0;80887004;4214002;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
27;0;124680001;4053217;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
28;0;69614003;4290404;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
29;0;718558008;36713639;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
30;0;16242007;4037324;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
31;0;733630004;37118686;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
32;0;234589002;4121287;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
33;0;87827003;4336976;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
35;0;69080001;4289321;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
36;0;715951007;37396220;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
37;0;37702000;4292404;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
38;0;111029001;4007950;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
39;0;239089006;4034648;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
40;0;718559000;36713640;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
41;0;239085000;4082497;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
42;0;128596003;4029371;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
43;0;65389002;4276356;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
44;0;238061001;4029887;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
45;0;124525004;4049856;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
46;0;15285008;4034867;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
47;0;65880007;4279923;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
48;0;275416002;4170455;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
49;0;59981001;4243050;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
50;0;80651009;4216211;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
51;0;230312006;4046096;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
52;0;31742004;4136964;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
53;0;725050005;37110722;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
54;0;78642008;4301895;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
55;0;63844009;4273682;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
56;0;360378009;4232841;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
58;0;81854007;4218753;Condition;19;1970-01-01;2099-12-31;1970-01-01;2099-12-31
